food_id,food_name,scientific_name,food_category,source,food_type,serving_size_g,energy_kcal,protein_g,fat_g,carbs_g,fiber_g,water_g,sodium_mg,potassium_mg,phosphorus_mg,calcium_mg,magnesium_mg,iron_mg,zinc_mg,vitamin_c_mg,vitamin_b6_mg,folate_ug,vitamin_e_mg,saturated_fat_g,mufa_g,pufa_g,cholesterol_mg,starch_g,sugars_free_g,oxalate_mg,phytic_acid_mg,total_carbs_g,na_k_ratio,protein_quality,ingredients,brand,nutriscore_grade,unified_id,data_completeness
OFF_8901491363020,Chilli Chatka,,Processed_Foods,OpenFoodFacts,Packaged_Food,100,558.0,5.6,34.5,59.2,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,71.2,0.0,Unknown,,10,unknown,FOOD_002468,0.32142857142857145
OFF_8901491365666,Puffcorn,,Processed_Foods,OpenFoodFacts,Packaged_Food,100,92.0,1.1,4.7,11.5,0.0,0.0,135.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,11.5,0.0,Unknown,,Kurkure,c,FOOD_002469,0.32142857142857145
OFF_8901491365703,Puffcorn,,Processed_Foods,OpenFoodFacts,Packaged_Food,100,536.0,6.4,27.1,66.5,0.0,0.0,770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,66.5,0.0,Unknown,"INREDIENTS: Cereal Products (67%) (Corn Meal (53%), Rice Meal (14%)), Edible Vegetable Oil (Palmolein), *Seasoning (Sugar, lodised Salt, Maltodextrin, Spices and Condiments, Milk Solids, Cheese, Salt Replacer (Potassium Chloride), Flavour (Natural and Nature Identical Flavouring Substances), Flavour Enhancers (627, 631), Acidity Regulators (296, 330), Emulsifying & Stabilising Agent ((331(iii), 471, 327)), Gram Meal (3.6%), Calcium Carbonate (170(i)), lodised Salt. *As flavouring agent. Contains Onion and Garlic ALLERGEN ADVICE: Contains Soy, Milk, Wheat",Kurkure,e,FOOD_002470,0.32142857142857145
OFF_8901491366052,Puffcorn,,Processed_Foods,OpenFoodFacts,Packaged_Food,100,555.0,6.0,34.5,56.2,0.0,0.0,892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,56.2,0.0,Unknown,"Cereal Products (67%) (Corn Meal (53%). Rice Meal), Edible Vegetable Oil (Palmolein), ++Seasoning (Sugar, lodised Salt, Maltodextrin, &quot;Spices and Condiments, Milk Solids, Cheese, Salt Substitute (Potassium Chloride), Flavour (Natural and Nature Identical Flavouring Substances), Flavour Enhancers (627, 631), Acidity Regulators (296, 330), Emulsifying & Stabilising Agent (331 (iii), 471, 327), Gram Meal, Firming Agent (170(i)), lodised Salt. **As flavouring agent. ~Contains Onion and Garlic ALLERGEN ADVICE: Contains Soy, Milk, Wheat",Generic,e,FOOD_002471,0.32142857142857145
OFF_8901491366229,Kurkure Solid Masti Masala Twisteez Crisps,,Spices_Condiments,OpenFoodFacts,Packaged_Food,100,528.0,8.6,28.7,58.7,0.0,0.0,878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,58.7,0.0,Unknown,"Edible Vegetable Oil (Palmolein), Edible Starch, Besan (20.1%), Rice Flour (15.3%), Potato Powder, lodised Salt, *Seasoning (~Spices and Condiments, Maltodextrin, lodised Salt, Black Salt, Milk Solids, Acidity Regulators (330, 296, 334), Flavour (Natural and Nature Identical Flavouring Substances), Sugar, Tomato Powder) *As flavouring agent. ~Contains Onion ALLERGEN ADVICE: Contains Nuts, Milk May Contain Sulphite",Kurkure,e,FOOD_002472,0.32142857142857145
OFF_8901491367219,kurkure,,Processed_Foods,OpenFoodFacts,Packaged_Food,100,522.0,6.0,33.6,56.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,56.4,0.0,Unknown,"Cereal Products (67%) (Rice Meal (44%), Corn Meal (23%)), Edible Vegetable Oil (Rice Bran Oil, Sesame Oil), *Seasoning Spices & Condiments, lodised Salt, Sugar, Flavour (Natural and Nature Identical Flavouring Substances), Black Salt, Tomato Powder, Acidity Regulators (330, 296, 334), Colour (160c), Maltodextrin), Gram Meal (0.4%). As Flavouring Agent. &quot;Contains Onion and Garlic LERGEN ADVICE: Contains Sulphite.",kurkure,d,FOOD_002473,0.2857142857142857
OFF_8901491405003,Plain Salted Potato Chipps,,Processed_Foods,OpenFoodFacts,Packaged_Food,100,548.0,6.7,35.0,52.0,0.0,0.0,591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,52.0,0.0,Unknown,"Potato, Edible Vegetable Oil (Palmolein, Rice Bran Oil), Iodized Salt (1.5%).",Uncle Chipps,e,FOOD_002474,0.32142857142857145
OFF_8901491435000,Potato Chips (Plain Salted flavour) 20rs,,Processed_Foods,OpenFoodFacts,Packaged_Food,100,548.0,6.7,35.0,52.0,0.0,0.0,600.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,52.0,0.0,Unknown,"Potato, Edible Vegetable Oil (Palmolein, Sunflower Oil), Iodised Salt (1.5%)",Uncle Chipps,e,FOOD_002475,0.32142857142857145
OFF_8901491435109,Potato chips (Spicy Treat flavour)20rs,,Processed_Foods,OpenFoodFacts,Packaged_Food,100,670.0,10.0,40.0,70.0,15.0,0.0,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,85.0,0.0,Unknown,"Potato, Edible Vegetable Oil (Palmolein), *Seasoning (Sugar, lodised Salt, ~Spices and Condiments, Acidity Regulators (330, 334, 296), Maltodextrin, Edible Starch, Salt Substitute (Potassium Chloride), Milk Solids, Anticaking Agents (551, 470), Flavour Enhancers (631, 627), Color (150d), Flavour (Natural and Nature Identical Flavouring Substances), Modified Starch (1450)).  *As flavouring agent. ~Contains Onion  ALLERGEN ADVICE: Contains Milk",Uncle Chipps,e,FOOD_002476,0.35714285714285715
OFF_8901491502023,Lay's - India's Magic Masala,,Spices_Condiments,OpenFoodFacts,Packaged_Food,100,539.0,6.9,33.1,53.4,0.0,0.0,826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,53.4,0.0,Unknown,"Potato, Edible Vegetable Oil (Palmolein Oil), *Seasoning (&quot;Spices & Condiments, Iodised Salt, Maltodextrin, Black Salt, Sugar, Tomato Powder, Acidity Regulators (330, 296, 334), Flavour (Natural and Nature Identical Flavouring Substances), Anticaking Agent (551), Colour (160c)). *As flavouring agent. ~Contains Onion and Garlic","PepsiCo, Inc.",e,FOOD_002477,0.32142857142857145
