model,macro_f1,roc_auc
CKD_DT_default,0.5182815819142861,0.5918214383289933
HTN_LOGREG_1000,0.5401252630304609,0.9265861265000506
DIAB_GNB_default,0.5253949502886628,0.8981022517879642
